名称,描述,房源好评率,近期预定量,房源类型,户型,出租类型,床型,床数,可住人数,独卫数量,面积,发票,地址,省份,城区,配套设施,周边设施,乘车路线,房源评论数,房客评价,价格,房源综合得分,房主好评率,房主回复率,房主接单率,其他房源数,其他房源平均分
近邻恒大影城浮阳北大道小吃街A2温馨大两居,"
                标准两居，新房新床新被褥新家电新装修。豪华装修，高档温馨特别舒适干净卫生，空调，冰箱，洗衣机，液晶电视，Wi-Fi五星级酒店家纺床上用品，一次性洗浴用品，24小时热水淋浴，独立整体厨房可做饭，锅碗瓢盆调料一应俱全。小区住户少，安静舒适。适合商务接待，朋友聚会，全家出游，情侣约会。
            ",95%,22 晚,普通公寓,2室1厅,整租,"双人床
双人床",2张,4人,1,109平米,提供,沧州-运河区-浮阳北大道西-沧州恒大城-一期,沧州,运河区,"['无线WIFI', '电视', '淋浴', '暖气', '全天热水', '厨房', '毛巾', '拖鞋', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '接待外宾', '泳池']",小区近邻恒大影城，浮阳北大道小吃街，人民公园，楼下超市肉，蛋，奶，蔬菜，水果一应俱全，生活便利。,交通便利，小区门口经过29路，10路公交车。距离恒大影城百米距离。,3, 干净卫生，+ 特别舒适 温馨  温暖的地方 性价比不错+ 两卧室一大厅，干净整洁，也很宽敞，楼下就是面积很大的人工湖，绿草如茵，鸟语花香，新建小区，下次来沧州旅游，还住这里，赞！,218,4.8,100.0%,100.0%,90.9%,19,4.289
浮阳北大道御景狮城A6浪漫风情一居,"
                新房新床新被褥新家电新装修。豪华装修，高档温馨特别舒适干净卫生，空调，冰箱，洗衣机，液晶电视，Wi-Fi五星级酒店家纺床上用品，一次性洗浴用品，24小时热水淋浴，独立整体厨房可做饭，锅碗瓢盆调料一应俱全。小区住户少，安静舒适。适合商务接待，朋友聚会，全家出游，情侣约会。
            ",100%,20 晚,普通公寓,1室1厅,整租,其他,1张,2人,1,68平米,提供,沧州-运河区-浮阳北大道-御景狮城,沧州,运河区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '接待外宾', '泳池']",小区门前有条小吃街，烧烤，小海鲜，沧州特色小吃应有尽有，距离大型的超市百米。近临人民公园，中心医院。,位于浮阳北大道，交通便利，小区505路，29路，11路公交直达。,1, 很不错，老板人也好，服务很到位。,198,5.0,100.0%,100.0%,90.9%,19,4.289
人民公园沧州恒大城A1轻奢主义风一居,"
                标准两居，新房新床新被褥新家电新装修。豪华装修，高档温馨特别舒适干净卫生，空调，冰箱，洗衣机，液晶电视，Wi-Fi五星级酒店家纺床上用品，一次性洗浴用品，24小时热水淋浴，独立整体厨房可做饭，锅碗瓢盆调料一应俱全。小区住户少，安静舒适。适合商务接待，朋友聚会，全家出游，情侣约会。
            ",100%,22 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,70平米,提供,沧州-运河区-永安北大道东-沧州恒大城-二期,沧州,运河区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '全天热水', '厨房', '毛巾', '拖鞋', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '接待外宾']",小区近邻恒大影城，人民公园，楼下超市肉，蛋，奶，蔬菜，水果一应俱全，生活便利。,交通便利，小区门口经过29路，10路公交车。距离恒大影城百米距离。,2, 非常不错，房东很热情，服务很周到，房子很干净+ 相当不错的,218,5.0,100.0%,100.0%,90.9%,19,4.289
荣盛购物广场附近高铁站A3温馨小茶居一居,"
                标准两居，新房新床新被褥新家电新装修。豪华装修，高档温馨特别舒适干净卫生，空调，冰箱，洗衣机，液晶电视，Wi-Fi五星级酒店家纺床上用品，一次性洗浴用品，24小时热水淋浴，独立整体厨房可做饭，锅碗瓢盆调料一应俱全。小区住户少，安静舒适。适合商务接待，朋友聚会，全家出游，情侣约会。
            ",100%,20 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,85平米,提供,沧州-运河区-黄河西路南-荣盛锦绣天地-B区,沧州,运河区,"['无线WIFI', '电视', '淋浴', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '接待外宾', '泳池']",小区近临荣盛购物广场，（大型超市、美食城、电玩城、电影院、儿童娱乐城）名人植物园，狮城公园，沧州体育馆，游泳馆，图书馆，博物馆，规划馆，会展中心，园林式小区，环境优雅，星级物业服务。,小区位于荣盛购物广场附近，距离高铁站，西高速口均在10分种车程内。交通便利，停车方便。,0,,228,,100.0%,100.0%,90.9%,19,4.289
临荣盛购物广场A5大两居阳光房,"
                标准两居，新房新床新被褥新家电新装修。豪华装修，高档温馨特别舒适干净卫生，空调，冰箱，洗衣机，液晶电视，Wi-Fi五星级酒店家纺床上用品，一次性洗浴用品，24小时热水淋浴，独立整体厨房可做饭，锅碗瓢盆调料一应俱全。小区住户少，安静舒适。适合商务接待，朋友聚会，全家出游，情侣约会。
            ",100%,20 晚,普通公寓,2室1厅,整租,"双人床
双人床",2张,4人,1,109平米,提供,沧州-运河区-开元南大道-荣盛锦绣天地A区-南门,沧州,运河区,"['无线WIFI', '电视', '淋浴', '暖气', '洗衣机', '电冰箱', '厨房', '毛巾', '拖鞋', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '接待外宾', '泳池']",小区近临荣盛购物广场，（大型超市、美食城、电玩城、电影院、儿童娱乐城）名人植物园，狮城公园，沧州体育馆，游泳馆，图书馆，博物馆，规划馆，会展中心，园林式小区，环境优雅，星级物业服务。,,0,,238,,100.0%,100.0%,90.9%,19,4.289
靠近市动物园，游乐场两居室可做饭,"
                干净，整洁，东西齐全
            ",100%,18 晚,小区住宅,2室1厅,整租,双人床,2张,4人,1,90平米,提供,沧州-新华区-解放东路-百合世嘉,沧州,新华区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '电梯', '餐具炊具']",沧州市动物园，游乐场，,,0,,188,,100.0%,100.0%,80.0%,2,2.5
紧邻明珠商贸城，西客站，居然之家，市政大厅,"
                交通便利，温馨大床房，
            ",100%,18 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,50平米,提供,沧州-运河区-迎宾大道-泰大国际家居广场,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '电吹风', '智能门锁', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '微波炉', '灭火器']",,,0,,128,,100.0%,100.0%,100.0%,11,5.0
紧邻明珠商贸城，西客站，市政大厅,"
                家电家具齐全，交通便利
            ",100%,18 晚,普通公寓,1室1厅,整租,双人床,2张,4人,1,50平米,提供,沧州-运河区-迎宾大道-泰大国际家居广场,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '电吹风', '智能门锁', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '微波炉', '灭火器']",,,0,,128,,100.0%,100.0%,100.0%,11,5.0
紧邻明珠商贸城，西客站，市政大厅,"
                家居家电齐全，交通便利
            ",100%,18 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,50平米,提供,沧州-运河区-迎宾大道-泰大国际家居广场,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '电吹风', '智能门锁', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '微波炉', '灭火器']",,,0,,128,,100.0%,100.0%,100.0%,11,5.0
近荣盛广场，近医院商超锦绣天地阳光大床房,"
                小区周边配套设施齐全，娱乐购物餐饮一应俱全，房屋装修风格清新，是您旅居休息的好去处
            ",100%,24 晚,小区住宅,2室2厅,整租,"双人床
双人床",2张,4人,1,80平米,提供,沧州-运河区-运河区黄河西路-锦绣天地B区,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '燃气灶', '电饭煲', '灭火器']",,,0,,220,,100.0%,100.0%,100.0%,7,4.286
